Time;Manufacture;中国:民间固定资产投资完成额:累计同比;中国:房地产开发投资完成额:累计同比;中国:房地产开发投资完成额:累计值;Export;Import
2000-01;8,9;;;;47,6;54,2
2000-02;12;;19,8;246,04;34,5;54,1
2000-03;11,9;;20,4;534,5;35,9;23,9
2000-04;11,4;;20,9;834,81;38,8;32,8
2000-05;11,5;;20,8;1175,89;29,6;24,3
2000-06;12,2;;22,4;1622,6;45;39,8
2000-07;12,8;;24,1;2014,56;24;40,1
2000-08;12,8;;24,3;2413,38;27,3;54,6
2000-09;12;;25;2860,6;23,7;35,7
2000-10;11,4;;24,6;3282,65;24,9;37,4
2000-11;10,6;;24,1;3744,28;13,7;28
2000-12;10,4;;19,5;4901,73;8,5;22,9
2001-01;2,3;;;;0,1;1,9
2001-02;19;;23;319,93;28,4;35,8
2001-03;12,1;;22,9;677,2;14,3;16,5
2001-04;11,5;;22,8;1057,25;11,1;19,1
2001-05;10,2;;26,5;1534,85;3,5;10,9
2001-06;10,1;;28,2;2122,5;-0,6;4,8
2001-07;8,1;;31,6;2651,75;6,2;7,5
2001-08;8,1;;32,1;3187,93;0,9;6,7
2001-09;9,5;;31,4;3758,82;4,4;5,5
2001-10;8,8;;31,4;4305,74;0,1;-0,2
2001-11;7,9;;29,7;4857,16;8,4;-3,7
2001-12;8,7;;25,3;6245,48;11,5;4,6
2002-01;18,6;;;;29,2;21,9
2002-02;2,7;;30,2;416,58;1,8;-12,7
2002-03;10,9;;36,2;922,35;3,4;8,5
2002-04;12,1;;38,8;1467,47;17,2;17,8
2002-05;12,9;;36,7;2097,87;18,4;19,3
2002-06;12,4;;32,9;2821,28;17,8;8,6
2002-07;12,8;;30,7;3466,78;28,1;28,9
2002-08;12,7;;30;4143,7;25;23
2002-09;13,8;;29,4;4862,69;33,1;36,4
2002-10;14,2;;29,8;5587,95;31,5;33,4
2002-11;14,5;;28,2;6228,07;30;37,9
2002-12;14,9;;22;7736,42;30,2;28,4
2003-01;14,8;;;;37,3;63,4
2003-02;19,8;;37;598,26;27,8;49,4
2003-03;16,9;;34,9;1285,1;34,7;45,1
2003-04;14,9;;33,5;1980,34;33,3;34,4
2003-05;13,7;;32,9;2801,37;37,3;40,9
2003-06;16,9;;34;3816,81;32,6;40,1
2003-07;16,5;;34,1;4697,89;30,6;35,3
2003-08;17,1;;33,1;5566,48;27,2;27,3
2003-09;16,3;;32,8;6495,01;31,3;39,9
2003-10;17,2;;31,3;7367,08;36,7;39,7
2003-11;17,9;;32,5;8284,81;33,8;28,5
2003-12;18,1;;29,7;10106,12;50,7;47,4
2004-01;7,2;;;;19,8;15,2
2004-02;23,2;;57,1;944,81;39,5;77
2004-03;19,4;;41,1;1820,4;42,9;42,8
2004-04;19,1;;34,6;2686,23;32,4;42,9
2004-05;17,5;;32;3703,21;32,8;35,4
2004-06;16,2;;28,7;4923,69;46,5;50,5
2004-07;15,5;;28,6;6055,26;33,9;34,2
2004-08;15,9;;28,8;7184,59;37,5;35,6
2004-09;16,1;;28,3;8356,77;33,1;22,1
2004-10;15,7;;28,9;9526,44;28,5;29,3
2004-11;14,8;;29,2;10738,32;45,9;38,5
2004-12;14,4;;28,1;13158,25;32,7;24,6
2005-01;20,9;;;;42,1;23,9
2005-02;7,6;87,43;27;1199,65;30;-5
2005-03;15,1;66,81;26,7;2323,57;32,8;18,6
2005-04;16;66,38;25,9;3405,32;31,9;16,2
2005-05;16,6;73,88;24,3;4644,15;30,3;15
2005-06;16,8;61,69;23,5;6193,06;30,6;15,1
2005-07;16,1;62,18;23,5;7586,99;28,7;12,4
2005-08;16;61,12;22,3;8920,12;33,2;23,5
2005-09;16,5;59,82;22,2;10377,57;25,9;23,5
2005-10;16,1;63,43;21,6;11769,35;29,7;23,4
2005-11;16,6;60,08;22,2;13239,98;18,6;21
2005-12;16,5;48,82;20,9;15909,2;18,2;22,2
2006-01;12,6;;;;28,1;25,4
2006-02;20,1;40,77;19,7;1436,39;22,2;29,5
2006-03;17,8;46,73;20,2;2792,68;28,3;21,1
2006-04;16,6;45,03;21,3;4130,91;23,9;15,3
2006-05;17,9;44,28;21,8;5657,68;25,1;21,7
2006-06;19,5;45,75;24,2;7694,59;23,3;18,9
2006-07;16,7;44,87;24;9411,47;22,6;19,7
2006-08;15,7;42,49;24;11063,07;32,8;24,6
